Timestamp,User,Message
2024-07-28T05:23:48.014Z,Caleb Campbell,Yeah I definitely changed the schema
2024-07-28T05:23:38.282Z,Caleb Campbell,<@U07ED33KX6W> has joined the channel
2024-07-28T04:08:12.726Z,Owen,I personally did not change the shema
2024-07-28T04:07:59.040Z,Owen,Adding in another message about how I changed the schema so that I can see the reaction
2024-07-28T04:00:54.704Z,Owen,Adding more stuff in here
2024-07-28T00:21:47.239Z,Owen,More stuff here in messages for the bot to sort through
2024-07-28T00:21:29.261Z,Owen,I changed the prisma schema
2024-07-28T00:12:09.031Z,Owen,"As is this, a little test as well."
2024-07-28T00:11:59.309Z,Owen,This is a little test
2024-07-28T00:06:58.710Z,MsgOutput,<@U07ERBFRAG1> has joined the channel
2024-07-28T00:06:36.286Z,Owen,<@U07E62CA4UE> has joined the channel
